sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ERBB2","Approved symbol","ERBB2","erb-b2 receptor tyrosine kinase 2","HGNC:3430","17q12"
"RGS3","Approved symbol","RGS3","regulator of G protein signaling 3","HGNC:9999","9q32"
"QPRT","Approved symbol","QPRT","quinolinate phosphoribosyltransferase","HGNC:9755","16p11.2"
"RND1","Approved symbol","RND1","Rho family GTPase 1","HGNC:18314","12q13.12"
"RNF103","Approved symbol","RNF103","ring finger protein 103","HGNC:12859","2p11.2"
"SNPH","Approved symbol","SNPH","syntaphilin","HGNC:15931","20p13"
"MSX2","Approved symbol","MSX2","msh homeobox 2","HGNC:7392","5q35.2"
"SDHA","Approved symbol","SDHA","succinate dehydrogenase complex flavoprotein subunit A","HGNC:10680","5p15.33"
"PXMP4","Approved symbol","PXMP4","peroxisomal membrane protein 4","HGNC:15920","20q11.22"
"EAF2","Approved symbol","EAF2","ELL associated factor 2","HGNC:23115","3q13.33"
"EAF2","Alias symbol","DMAP1","DNA methyltransferase 1 associated protein 1","HGNC:18291","1p34.1"
"SQRDL","Previous symbol","SQOR","sulfide quinone oxidoreductase","HGNC:20390","15q21.1"
"MLPH","Approved symbol","MLPH","melanophilin","HGNC:29643","2q37.3"
"GOT1","Approved symbol","GOT1","glutamic-oxaloacetic transaminase 1","HGNC:4432","10q24.2"
"GOT1","Alias symbol","GOLT1A","golgi transport 1A","HGNC:24766","1q32.1"
"GOT1","Alias symbol","GOLT1B","golgi transport 1B","HGNC:20175","12p12.1"
"FLJ10134","Alias symbol","TMEM45A","transmembrane protein 45A","HGNC:25480","3q12.2"
"ACSL1","Approved symbol","ACSL1","acyl-CoA synthetase long chain family member 1","HGNC:3569","4q35.1"
"EMP2","Approved symbol","EMP2","epithelial membrane protein 2","HGNC:3334","16p13.13"
"ICA1","Approved symbol","ICA1","islet cell autoantigen 1","HGNC:5343","7p21.3"
"FGB","Approved symbol","FGB","fibrinogen beta chain","HGNC:3662","4q31.3"
"ARH","Alias symbol","LDLRAP1","low density lipoprotein receptor adaptor protein 1","HGNC:18640","1p36.11"
"UGT2B15","Approved symbol","UGT2B15","UDP glucuronosyltransferase family 2 member B15","HGNC:12546","4q13.2"
"CRISP3","Approved symbol","CRISP3","cysteine rich secretory protein 3","HGNC:16904","6p12.3"
"CES1","Approved symbol","CES1","carboxylesterase 1","HGNC:1863","16q12.2"
"DBI","Approved symbol","DBI","diazepam binding inhibitor, acyl-CoA binding protein","HGNC:2690","2q14.2"
"DBI","Alias symbol","TSPO","translocator protein","HGNC:1158","22q13.2"
"SPRED2","Approved symbol","SPRED2","sprouty related EVH1 domain containing 2","HGNC:17722","2p14"
"GNMT","Approved symbol","GNMT","glycine N-methyltransferase","HGNC:4415","6p21.1"
"EGLN3","Approved symbol","EGLN3","egl-9 family hypoxia inducible factor 3","HGNC:14661","14q13.1"
"RARRES3","Previous symbol","PLAAT4","phospholipase A and acyltransferase 4","HGNC:9869","11q12.3"
"KIAA1598","Previous symbol","SHTN1","shootin 1","HGNC:29319","10q25.3"
"ALDH2","Approved symbol","ALDH2","aldehyde dehydrogenase 2 family member","HGNC:404","12q24.12"
"CKMT1","Previous symbol","CKMT1B","creatine kinase, mitochondrial 1B","HGNC:1995","15q15.3"
"CKMT1","Previous symbol","CKMT1A","creatine kinase, mitochondrial 1A","HGNC:31736","15q15.3"
"GALNT10","Approved symbol","GALNT10","polypeptide N-acetylgalactosaminyltransferase 10","HGNC:19873","5q33.2"
"ABCC3","Approved symbol","ABCC3","ATP binding cassette subfamily C member 3","HGNC:54","17q21.33"
"KLHL2","Approved symbol","KLHL2","kelch like family member 2","HGNC:6353","4q32.3"
"NKX2-2","Approved symbol","NKX2-2","NK2 homeobox 2","HGNC:7835","20p11.22"
"PLXNB3","Approved symbol","PLXNB3","plexin B3","HGNC:9105","Xq28"
"HUMPPA","Alias symbol","CDR2L","cerebellar degeneration related protein 2 like","HGNC:29999","17q25.1"
"ADH1C","Approved symbol","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide","HGNC:251","4q23"
"RABL4","Previous symbol","IFT27","intraflagellar transport 27","HGNC:18626","22q12.3"
"IL13RA1","Approved symbol","IL13RA1","interleukin 13 receptor subunit alpha 1","HGNC:5974","Xq24"
"HSD17B2","Approved symbol","HSD17B2","hydroxysteroid 17-beta dehydrogenase 2","HGNC:5211","16q23.3"
"CNTNAP2","Approved symbol","CNTNAP2","contactin associated protein 2","HGNC:13830","7q35-q36.1"
"UNG2","Alias symbol","UNG","uracil DNA glycosylase","HGNC:12572","12q24.11"
"UNG2","Alias symbol","CCNO","cyclin O","HGNC:18576","5q11.2"
"TNFSF10","Approved symbol","TNFSF10","TNF superfamily member 10","HGNC:11925","3q26"
"MLSTD1","Previous symbol","FAR2","fatty acyl-CoA reductase 2","HGNC:25531","12p11.22"
"PLK2","Approved symbol","PLK2","polo like kinase 2","HGNC:19699","5q11.2"
"MYO1B","Approved symbol","MYO1B","myosin IB","HGNC:7596","2q32.3"
"GUSB","Approved symbol","GUSB","glucuronidase beta","HGNC:4696","7q11.21"
"SH2D4A","Approved symbol","SH2D4A","SH2 domain containing 4A","HGNC:26102","8p21.3"
"TCAP","Approved symbol","TCAP","titin-cap","HGNC:11610","17q12"
"COL4A5","Approved symbol","COL4A5","collagen type IV alpha 5 chain","HGNC:2207","Xq22.3"
"SORL1","Approved symbol","SORL1","sortilin related receptor 1","HGNC:11185","11q24.1"
"DHX32","Approved symbol","DHX32","DEAH-box helicase 32 (putative)","HGNC:16717","10q26.2"
"PBEF1","Previous symbol","NAMPT","nicotinamide phosphoribosyltransferase","HGNC:30092","7q22.3"
"MKNK2","Approved symbol","MKNK2","MAPK interacting serine/threonine kinase 2","HGNC:7111","19p13.3"
"FMO4","Approved symbol","FMO4","flavin containing dimethylaniline monoxygenase 4","HGNC:3772","1q24.3"
"ABLIM3","Approved symbol","ABLIM3","actin binding LIM protein family member 3","HGNC:29132","5q32"
"FEM1C","Approved symbol","FEM1C","fem-1 homolog C","HGNC:16933","5q22.3"
"FLJ21827","Alias symbol","IFT46","intraflagellar transport 46","HGNC:26146","11q23.3"
"CPA4","Approved symbol","CPA4","carboxypeptidase A4","HGNC:15740","7q32.2"
"TRIM34","Approved symbol","TRIM34","tripartite motif containing 34","HGNC:10063","11p15.4"
"PCCA","Approved symbol","PCCA","propionyl-CoA carboxylase subunit alpha","HGNC:8653","13q32.3"
"BZW2","Approved symbol","BZW2","basic leucine zipper and W2 domains 2","HGNC:18808","7p21.1"
"RNF11","Approved symbol","RNF11","ring finger protein 11","HGNC:10056","1p32.3"
"BIK","Approved symbol","BIK","BCL2 interacting killer","HGNC:1051","22q13.2"
"ACAA1","Approved symbol","ACAA1","acetyl-CoA acyltransferase 1","HGNC:82","3p22.2"
"FLJ10375","Alias symbol","ANO10","anoctamin 10","HGNC:25519","3p22.1-p21.33"
"AKT1","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33"
"SMPDL3A","Approved symbol","SMPDL3A","sphingomyelin phosphodiesterase acid like 3A","HGNC:17389","6q22.31"
"COMT","Approved symbol","COMT","catechol-O-methyltransferase","HGNC:2228","22q11.21"
"DKK1","Approved symbol","DKK1","dickkopf WNT signaling pathway inhibitor 1","HGNC:2891","10q21.1"
"SCARB2","Approved symbol","SCARB2","scavenger receptor class B member 2","HGNC:1665","4q21.1"
"FLJ23091","Alias symbol","WLS","Wnt ligand secretion mediator","HGNC:30238","1p31.3"
"SLC37A1","Approved symbol","SLC37A1","solute carrier family 37 member 1","HGNC:11024","21q22.3"
"LGALS8","Approved symbol","LGALS8","galectin 8","HGNC:6569","1q43"
"TDO2","Approved symbol","TDO2","tryptophan 2,3-dioxygenase","HGNC:11708","4q32.1"
"PRKAA1","Approved symbol","PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","HGNC:9376","5p13.1"
"DHRS2","Approved symbol","DHRS2","dehydrogenase/reductase 2","HGNC:18349","14q11.2"
"ATIC","Approved symbol","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","HGNC:794","2q35"
"""NAP1L2""","Unmatched","","","",""
"MB","Approved symbol","MB","myoglobin","HGNC:6915","22q12.3"
"GCAT","Approved symbol","GCAT","glycine C-acetyltransferase","HGNC:4188","22q13.1"
"MAP3K5","Approved symbol","MAP3K5","mitogen-activated protein kinase kinase kinase 5","HGNC:6857","6q23.3"
"ITGB5","Approved symbol","ITGB5","integrin subunit beta 5","HGNC:6160","3q21.2"
"KIAA0251","Alias symbol","PDXDC1","pyridoxal dependent decarboxylase domain containing 1","HGNC:28995","16p13.11"
"CAB39","Approved symbol","CAB39","calcium binding protein 39","HGNC:20292","2q37.1"
"SCNN1A","Approved symbol","SCNN1A","sodium channel epithelial 1 subunit alpha","HGNC:10599","12p13"
"PARP8","Approved symbol","PARP8","poly(ADP-ribose) polymerase family member 8","HGNC:26124","5q11.1"
"CEACAM6","Approved symbol","CEACAM6","CEA cell adhesion molecule 6","HGNC:1818","19q13.2"
"UCP2","Approved symbol","UCP2","uncoupling protein 2","HGNC:12518","11q13.4"
"SCGB2A2","Approved symbol","SCGB2A2","secretoglobin family 2A member 2","HGNC:7050","11q12.3"
"AMACR","Approved symbol","AMACR","alpha-methylacyl-CoA racemase","HGNC:451","5p13.2"
"HINT1","Approved symbol","HINT1","histidine triad nucleotide binding protein 1","HGNC:4912","5q23.3"
"RAB11A","Approved symbol","RAB11A","RAB11A, member RAS oncogene family","HGNC:9760","15q22.31"
"LRP10","Approved symbol","LRP10","LDL receptor related protein 10","HGNC:14553","14q11.2"
"LMAN2","Approved symbol","LMAN2","lectin, mannose binding 2","HGNC:16986","5q35.3"
"NCB5OR","Previous symbol","CYB5R4","cytochrome b5 reductase 4","HGNC:20147","6q14.2"
"GSDML","Previous symbol","GSDMB","gasdermin B","HGNC:23690","17q21.1"
"BBOX1","Approved symbol","BBOX1","gamma-butyrobetaine hydroxylase 1","HGNC:964","11p14.2"
"KRT7","Approved symbol","KRT7","keratin 7","HGNC:6445","12q13.13"
"BLVRB","Approved symbol","BLVRB","biliverdin reductase B","HGNC:1063","19q13.2"
"CNIH","Previous symbol","CNIH1","cornichon family AMPA receptor auxiliary protein 1","HGNC:19431","14q22.2"
"FBXW2","Approved symbol","FBXW2","F-box and WD repeat domain containing 2","HGNC:13608","9q33.2"
"ARL4A","Approved symbol","ARL4A","ADP ribosylation factor like GTPase 4A","HGNC:695","7p21.3"
"CLN3","Approved symbol","CLN3","CLN3 lysosomal/endosomal transmembrane protein, battenin","HGNC:2074","16p12.1"
"XBP1","Approved symbol","XBP1","X-box binding protein 1","HGNC:12801","22q12.1"
"XBP1","Previous symbol","XBP1P1","X-box binding protein 1 pseudogene 1","HGNC:12802","5q22.2"
"D8S2298E","Alias symbol","UBXN8","UBX domain protein 8","HGNC:30307","8p12"
"NEDD4","Approved symbol","NEDD4","NEDD4 E3 ubiquitin protein ligase","HGNC:7727","15q21.3"
"UBE4A","Approved symbol","UBE4A","ubiquitination factor E4A","HGNC:12499","11q23.3"
"LASS6","Previous symbol","CERS6","ceramide synthase 6","HGNC:23826","2q24.3"
"SCPEP1","Approved symbol","SCPEP1","serine carboxypeptidase 1","HGNC:29507","17q22"
"COX15","Approved symbol","COX15","cytochrome c oxidase assembly homolog COX15","HGNC:2263","10q24.2"
"LHX1","Approved symbol","LHX1","LIM homeobox 1","HGNC:6593","17q12"
"ASRGL1","Approved symbol","ASRGL1","asparaginase and isoaspartyl peptidase 1","HGNC:16448","11q12.3"
"CXADR","Approved symbol","CXADR","CXADR Ig-like cell adhesion molecule","HGNC:2559","21q21.1"
"PAX2","Approved symbol","PAX2","paired box 2","HGNC:8616","10q24.31"
"PRKCH","Approved symbol","PRKCH","protein kinase C eta","HGNC:9403","14q23.1"
"PIB5PA","Previous symbol","INPP5J","inositol polyphosphate-5-phosphatase J","HGNC:8956","22q12.2"
"PEX7","Approved symbol","PEX7","peroxisomal biogenesis factor 7","HGNC:8860","6q23.3"
"NDUFA8","Approved symbol","NDUFA8","NADH:ubiquinone oxidoreductase subunit A8","HGNC:7692","9q33.2"
"HMGCR","Approved symbol","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","HGNC:5006","5q13.3"
"GALE","Approved symbol","GALE","UDP-galactose-4-epimerase","HGNC:4116","1p36.11"
"STAP2","Approved symbol","STAP2","signal transducing adaptor family member 2","HGNC:30430","19p13.3"
"PTPN3","Approved symbol","PTPN3","protein tyrosine phosphatase non-receptor type 3","HGNC:9655","9q31"
"EPN3","Approved symbol","EPN3","epsin 3","HGNC:18235","17q21.33"
"SOX13","Approved symbol","SOX13","SRY-box transcription factor 13","HGNC:11192","1q32.1"
"AZGP1","Approved symbol","AZGP1","alpha-2-glycoprotein 1, zinc-binding","HGNC:910","7q22.1"
"FGL1","Approved symbol","FGL1","fibrinogen like 1","HGNC:3695","8p22"
"LOC51619","Unmatched","","","",""
"ST7","Approved symbol","ST7","suppression of tumorigenicity 7","HGNC:11351","7q31.2"
"ST7","Alias symbol","LRP12","LDL receptor related protein 12","HGNC:31708","8q22.3"
"HNMT","Approved symbol","HNMT","histamine N-methyltransferase","HGNC:5028","2q22.1"
"PACE-1","Alias symbol","SCYL3","SCY1 like pseudokinase 3","HGNC:19285","1q24.2"
"SIAT7B","Previous symbol","ST6GALNAC2","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","HGNC:10867","17q25.1"
"ESRRG","Approved symbol","ESRRG","estrogen related receptor gamma","HGNC:3474","1q41"
"ENAH","Approved symbol","ENAH","ENAH actin regulator","HGNC:18271","1q42.12"
"CASP4","Approved symbol","CASP4","caspase 4","HGNC:1505","11q22.3"
"CPD","Approved symbol","CPD","carboxypeptidase D","HGNC:2301","17q11.2"
"CPD","Alias symbol","HOMER2","homer scaffold protein 2","HGNC:17513","15q25.2"
"DEFB1","Approved symbol","DEFB1","defensin beta 1","HGNC:2766","8p23.1"
"ECHS1","Approved symbol","ECHS1","enoyl-CoA hydratase, short chain 1","HGNC:3151","10q26.3"
"ARHGAP6","Approved symbol","ARHGAP6","Rho GTPase activating protein 6","HGNC:676","Xp22.2"
"FABP6","Approved symbol","FABP6","fatty acid binding protein 6","HGNC:3561","5q33.3"
"SLC31A1","Approved symbol","SLC31A1","solute carrier family 31 member 1","HGNC:11016","9q32"
"PDLIM3","Approved symbol","PDLIM3","PDZ and LIM domain 3","HGNC:20767","4q35.1"
"EFS","Approved symbol","EFS","embryonal Fyn-associated substrate","HGNC:16898","14q11.2"
"CIB1","Approved symbol","CIB1","calcium and integrin binding 1","HGNC:16920","15q26.1"
"GSS","Approved symbol","GSS","glutathione synthetase","HGNC:4624","20q11.22"
"GSS","Previous symbol","PRNP","prion protein","HGNC:9449","20p13"
"FLJ22794","Alias symbol","FAM111A","FAM111 trypsin like peptidase A","HGNC:24725","11q12.1"
"TTC1","Approved symbol","TTC1","tetratricopeptide repeat domain 1","HGNC:12391","5q33.3"
"ZNF606","Approved symbol","ZNF606","zinc finger protein 606","HGNC:25879","19q13.43"
"VTI1B","Approved symbol","VTI1B","vesicle transport through interaction with t-SNAREs 1B","HGNC:17793","14q24.1"
"FLJ10901","Alias symbol","INAVA","innate immunity activator","HGNC:25599","1q32.1"
"PAX9","Approved symbol","PAX9","paired box 9","HGNC:8623","14q13.3"
"SPTLC2","Approved symbol","SPTLC2","serine palmitoyltransferase long chain base subunit 2","HGNC:11278","14q24.3"
"UCHL3","Approved symbol","UCHL3","ubiquitin C-terminal hydrolase L3","HGNC:12515","13q22.2"
"SOCS2","Approved symbol","SOCS2","suppressor of cytokine signaling 2","HGNC:19382","12q"
"HN1","Previous symbol","JPT1","Jupiter microtubule associated homolog 1","HGNC:14569","17q25.1"
